phrase,highlight
give me some Blues Classics,Blues Classics
change to Life Sucks,Life Sucks
throw on All Out 90s,All Out 90s
I'm in the mood for Love Songs tonight,Love Songs
hey play House Classics,House Classics
get Folk Essentials going,Folk Essentials
I'd like to listen to the Alternative playlist,Alternative
start the Dinner Jazz playlist,Dinner Jazz
I'd love to listen to Holiday Hits,Holiday Hits
Life Sucks is what I need,Life Sucks
Stars fits the mood,Stars
let me listen to Cry Baby,Cry Baby
queue up Sleep for me,Sleep
I want to listen to the Cozy playlist,Cozy
can you start playing Today's Top Hits,Today's Top Hits
go ahead and start Spa,Spa
find Jazz Classics and put it on,Jazz Classics
I'd like to hear White Noise,White Noise
put on Lullabies please,Lullabies
I really want to listen to Lo-Fi Cafe,Lo-Fi Cafe
play some Gaming Music,Gaming Music
get Focus Flow going,Focus Flow
I really want to hear Rise and Shine,Rise and Shine
give me Hot Country,Hot Country
queue up Bluegrass for me,Bluegrass
go ahead and start Acoustic Hits,Acoustic Hits
I'd like to listen to Fireside,Fireside
can you start Cry Baby,Cry Baby
I wanna put on Emo Forever,Emo Forever
give me Rock Classics,Rock Classics
Tropical House fits the mood,Tropical House
get the Folk Essentials playlist playing,Folk Essentials
I wanna put on Rock Classics,Rock Classics
can you turn on Love Songs,Love Songs
I'd like to hear Power Hour,Power Hour
I wanna listen to Nature Sounds,Nature Sounds
change the playlist to Office Vibes,Office Vibes
can you start Soul Music,Soul Music
can you play Office Vibes,Office Vibes
Emo Forever is the vibe,Emo Forever
could you start playing Acoustic Hits please,Acoustic Hits
go ahead and start Morning Coffee,Morning Coffee
change to Baby Music,Baby Music
can you play Gym Anthems,Gym Anthems
can you put on Yacht Rock,Yacht Rock
get EDM Hits playing,EDM Hits
let's put on In the Zone,In the Zone
Christmas Classics would be perfect,Christmas Classics
start the Fireside playlist,Fireside
let me put on Sad Bops,Sad Bops
start playing the Winter Warmth playlist,Winter Warmth
change to Spa,Spa
hey start Mood Booster,Mood Booster
change to Pop Punk,Pop Punk
Chill Vibes now,Chill Vibes
queue the All Out 80s playlist for me,All Out 80s
start playing the Good Morning playlist,Good Morning
switch the playlist to Feelin' Good,Feelin' Good
can you turn on Rise and Shine,Rise and Shine
I'd like to hear Date Night,Date Night
I'm in the mood for Holiday Hits,Holiday Hits
get Midnight going,Midnight
go ahead and put on Rise and Shine,Rise and Shine
can you put on Pop Rising please,Pop Rising
put on Discover Weekly please,Discover Weekly
put on the Meditation playlist,Meditation
let me hear Feelin' Good,Feelin' Good
I feel like listening to Electronic Rising,Electronic Rising
can you put on College Party,College Party
Empowerment is what I need,Empowerment
I'd like to listen to the Bluegrass playlist,Bluegrass
I'd like to listen to Hard Rock,Hard Rock
I wanna hear R&B Hits,R&B Hits
I'd love to hear College Party,College Party
queue the Teen Party playlist for me,Teen Party
I really want to listen to Dance Rising,Dance Rising
find All Out 80s and play it,All Out 80s
let's play Dubstep,Dubstep
I feel like hearing Peaceful Piano,Peaceful Piano
can you put on After Party,After Party
I wanna listen to Metal Essentials,Metal Essentials
hey put on Deep Focus,Deep Focus
Daily Mix 1 is the vibe,Daily Mix 1
find Coding Mode and put it on,Coding Mode
hey put on Spa,Spa
Sad Hours is what I want,Sad Hours
Live Acoustic please,Live Acoustic
switch to Dubstep,Dubstep
get Bedroom Pop going,Bedroom Pop
Running is what I need,Running
Songs to Sing in the Car would hit the spot,Songs to Sing in the Car
I'd like to hear Hard Rock,Hard Rock
let's play Latin Pop,Latin Pop
can you start Meditation,Meditation
can you turn on Dance Rising,Dance Rising
give me some Winter Warmth,Winter Warmth
put on Easy Listening please,Easy Listening
shuffle Hot Country,Hot Country
House Classics please,House Classics
switch the playlist to Hot Country,Hot Country
hey start Alternative R&B,Alternative R&B
I'm in the mood to listen to Gaming Music,Gaming Music
Alternative R&B would be perfect,Alternative R&B
I feel like listening to Friday Feeling,Friday Feeling
I wanna listen to Karaoke Night,Karaoke Night
I'd like to hear Holiday Hits,Holiday Hits
play the Soft Rock playlist,Soft Rock
could you put on Viva Latino for me,Viva Latino
get the Work From Home playlist going,Work From Home
I need the Alternative playlist,Alternative
I'm in the mood to listen to Tropical House,Tropical House
shuffle the Stars playlist,Stars
I really want to hear Feelin' Good,Feelin' Good
queue up the K-Pop Hits playlist,K-Pop Hits
Wedding Songs would be great,Wedding Songs
queue up Party Mix for me,Party Mix
hey can you put on Techno Bunker,Techno Bunker
I feel like listening to Mood Booster,Mood Booster
get the Metal Essentials playlist going,Metal Essentials
let's put on Peaceful Piano,Peaceful Piano
find the Film Scores playlist and play it,Film Scores
turn on the In the Zone playlist,In the Zone
I'd like to hear Cooking Music,Cooking Music
hey throw on Karaoke Night,Karaoke Night
Fireside sounds good,Fireside
I wanna put on Cardio,Cardio
Feelin' Good would hit the spot,Feelin' Good
hey start All Out 2000s,All Out 2000s
I wanna listen to Life Sucks,Life Sucks
throw Friday Feeling on,Friday Feeling
I want to listen to Live Acoustic,Live Acoustic
I need the Soul Classics playlist,Soul Classics
can you play the Sunday Morning playlist,Sunday Morning
I'm in the mood to listen to Study Break,Study Break
go ahead and play Rainy Day,Rainy Day
Dance Rising would hit the spot,Dance Rising
start playing the Coding Mode playlist,Coding Mode
put on Brain Food please,Brain Food
could you turn on Girls Night,Girls Night
I'm in the mood for Coffee Table Jazz tonight,Coffee Table Jazz
turn on the Cardio playlist,Cardio
put on Live Acoustic,Live Acoustic
I wanna hear Power Ballads,Power Ballads
put on the Holiday Hits playlist,Holiday Hits
turn on Late Night Vibes,Late Night Vibes
I'm in the mood for Brain Food tonight,Brain Food
I want to listen to the Salsa playlist,Salsa
can you play the Summer Pop playlist,Summer Pop
Chill Vibes is what I need,Chill Vibes
give me Salsa,Salsa
shuffle the Soul Music playlist,Soul Music
Kids Bop would be great,Kids Bop
queue the Yacht Rock playlist for me,Yacht Rock
let's put on Punk Classics,Punk Classics
I need the Office Vibes playlist,Office Vibes
I wanna listen to Folk Essentials,Folk Essentials
I wanna listen to Confidence Boost,Confidence Boost
can you put on Afrobeats,Afrobeats
hey throw on Live Acoustic,Live Acoustic
I really want to hear Heartbreak Hotel,Heartbreak Hotel
start the Brain Food playlist,Brain Food
hey can you put on Songs to Sing in the Car,Songs to Sing in the Car
I'm in the mood for Winter Warmth tonight,Winter Warmth
I need some Hip-Hop Controller,Hip-Hop Controller
let me listen to Bedroom Pop,Bedroom Pop
put on RapCaviar,RapCaviar
queue up Pop Rising for me,Pop Rising
throw Viva Latino on,Viva Latino
hey play Viva Latino,Viva Latino
can you turn on Spa,Spa
turn on the Latin Pop playlist,Latin Pop
Afrobeats would be perfect,Afrobeats
I want to listen to Jazz Classics,Jazz Classics
I'd like to listen to Productivity,Productivity
shuffle the Confidence Boost playlist,Confidence Boost
change to Indie Rock,Indie Rock
find the Electronic Rising playlist and start it,Electronic Rising
play the Country Roads playlist,Country Roads
go ahead and start Discover Weekly,Discover Weekly
can you put on Today's Top Hits,Today's Top Hits
let's put on Soft Rock,Soft Rock
I want to listen to the Soft Pop Hits playlist,Soft Pop Hits
get Spa going,Spa
can you start Yacht Rock,Yacht Rock
hey throw on Winter Warmth,Winter Warmth
find the Dinner Party playlist and start it,Dinner Party
I'd love to listen to Jazz Vibes,Jazz Vibes
I feel like listening to Reggaeton,Reggaeton
Good Vibes sounds good,Good Vibes
can you start Dinner with Friends,Dinner with Friends
get Nature Sounds playing,Nature Sounds
Party Mix is the vibe,Party Mix
I feel like listening to Christmas Classics,Christmas Classics
I feel like hearing Classic Rock,Classic Rock
I feel like listening to House Classics,House Classics
Rainy Day now,Rainy Day
give me some Discover Weekly,Discover Weekly
queue the Hot Country playlist for me,Hot Country
find Jazz Vibes and put it on,Jazz Vibes
shuffle Girls Night for me,Girls Night
I'd like to listen to Party Anthems,Party Anthems
Baby Music fits the mood,Baby Music
hey can you play Road Trip,Road Trip
I want to listen to the Bluegrass playlist,Bluegrass
hey can you play Sleepy,Sleepy
start playing the Lo-Fi Cafe playlist,Lo-Fi Cafe
queue up the Hype playlist,Hype
hey put on Dubstep,Dubstep
I want Cooking Music on,Cooking Music
put on Alternative R&B right now,Alternative R&B
Beast Mode would hit the spot,Beast Mode
I'm in the mood to listen to After Party,After Party
queue up the Spa playlist,Spa
I need the College Party playlist,College Party
let's play Peaceful Piano,Peaceful Piano
I'd like to listen to the Cardio playlist,Cardio
find Coffee Table Jazz and put it on,Coffee Table Jazz
start Power Hour,Power Hour
find the Songs to Sing in the Car playlist and start it,Songs to Sing in the Car
I'd like to listen to Feel Good Friday,Feel Good Friday
I need the Throwback Thursday playlist,Throwback Thursday
can you start Morning Coffee,Morning Coffee
can you turn on Confidence Boost,Confidence Boost
let me hear Productivity,Productivity
queue up Summer Party,Summer Party
Nature Sounds sounds good,Nature Sounds
I need some Daily Mix 1,Daily Mix 1
hey can you put on Blues Classics,Blues Classics
can you start Lo-Fi Cafe,Lo-Fi Cafe
I wanna listen to Hard Rock,Hard Rock
play some Happy Hits,Happy Hits
start Beast Mode,Beast Mode
get the K-Pop Hits playlist going,K-Pop Hits
can you play Lullabies,Lullabies
put on Rise and Shine please,Rise and Shine
start playing Yacht Rock,Yacht Rock
switch to Study Break,Study Break
switch to Power Ballads,Power Ballads
I need some House Classics,House Classics
I'd like to listen to the Happy Hits playlist,Happy Hits
start playing Cleaning Playlist,Cleaning Playlist
change to Country Gold,Country Gold
Summer Hits is what I want,Summer Hits
Road Trip would be great,Road Trip
hey put on Lo-fi Hip Hop,Lo-fi Hip Hop
I want Metal Essentials on,Metal Essentials
put on Soft Pop Hits right now,Soft Pop Hits
I want to listen to the Happy Hits playlist,Happy Hits
I wanna put on Happy Hits,Happy Hits
I'd love to listen to Coding Mode,Coding Mode
start In the Zone,In the Zone
I'd love to listen to Alternative,Alternative
queue up Dinner Party for me,Dinner Party
Holiday Hits sounds good,Holiday Hits
After Hours now,After Hours
throw on Productivity,Productivity
play some Daily Mix 1,Daily Mix 1
let me listen to Friday Feeling,Friday Feeling
hey start Summer Hits,Summer Hits
put on Latin Pop right now,Latin Pop
find Heartbreak Hotel and put it on,Heartbreak Hotel
play the Lo-Fi Cafe playlist,Lo-Fi Cafe
play Motown Classics for me,Motown Classics
get the RapCaviar playlist going,RapCaviar
throw on Bluegrass,Bluegrass
Late Night Vibes is the vibe,Late Night Vibes
shuffle the House Classics playlist,House Classics
shuffle Sunday Morning,Sunday Morning
find Pop Rising and put it on,Pop Rising
Focus Flow is what I want,Focus Flow
Beast Mode would be perfect,Beast Mode
I want to listen to the Today's Top Hits playlist,Today's Top Hits
Anger Management is what I need,Anger Management
Power Ballads would be great,Power Ballads
queue up Driving for me,Driving
start the Soul Classics playlist,Soul Classics
I really want to hear Blues Classics,Blues Classics
I want to hear Latin Pop,Latin Pop
let me listen to Beach Vibes,Beach Vibes
start Rainy Day,Rainy Day
I'd love to hear R&B Hits,R&B Hits
put on Daily Mix 1 please,Daily Mix 1
throw on Good Morning,Good Morning
queue up K-Pop Hits for me,K-Pop Hits
go ahead and start Lullabies,Lullabies
give me Acoustic Morning,Acoustic Morning
hey put on Work From Home,Work From Home
throw on Indie Rock,Indie Rock
go ahead and play RapCaviar,RapCaviar
throw on Pop Rising,Pop Rising
change the playlist to Beast Mode,Beast Mode
Feel Good Friday is what I want,Feel Good Friday
play some Rainy Day,Rainy Day
queue up All Out 90s for me,All Out 90s
Pregame is the vibe,Pregame
get Soul Music playing,Soul Music
go ahead and play Cardio,Cardio
change the playlist to Baking Songs,Baking Songs
switch the playlist to Summer Pop,Summer Pop
find the Latin Pop playlist and start it,Latin Pop
could you turn on Fireside,Fireside
give me Emo Forever,Emo Forever
give me some Anger Management,Anger Management
queue up the Feel Good Friday playlist,Feel Good Friday
play the Sleepy playlist,Sleepy
shuffle Chill Vibes for me,Chill Vibes
I wanna put on Yoga,Yoga
switch to Holiday Hits,Holiday Hits
Today's Top Hits is the vibe,Today's Top Hits
I want to listen to the Kids Bop playlist,Kids Bop
I really want to hear Bluegrass,Bluegrass
I'd like to listen to Soul Music,Soul Music
let's play Lullabies,Lullabies
give me Classical Focus,Classical Focus
start Teen Party for me,Teen Party
can you play Productivity,Productivity
could you put on Morning Coffee for me,Morning Coffee
I want Anger Management on,Anger Management
let me put on Meditation,Meditation
go ahead and put on Cooking Music,Cooking Music
start Good Vibes,Good Vibes
hey can you put on Gaming Music,Gaming Music
change the playlist to Mood Booster,Mood Booster
let's play Brain Food,Brain Food
give me some Tropical House,Tropical House
I wanna hear Soft Rock,Soft Rock
start playing the New Music Friday playlist,New Music Friday
get Hip-Hop Controller going,Hip-Hop Controller
Anger Management would be great,Anger Management
Weekend is what I need,Weekend
I'd love to hear Jazz Vibes,Jazz Vibes
hey can you put on Country Gold,Country Gold
shuffle Date Night for me,Date Night
I'd like to listen to the Today's Top Hits playlist,Today's Top Hits
find the All Out 2000s playlist and start it,All Out 2000s
can you turn on All Out 90s,All Out 90s
could you turn on Daily Mix 1,Daily Mix 1
I'd like to listen to Late Night Vibes,Late Night Vibes
I wanna listen to Morning Coffee,Morning Coffee
I wanna hear Power Hour,Power Hour
I want to listen to Party Anthems,Party Anthems
start playing Good Vibes,Good Vibes
play some Good Vibes,Good Vibes
Heartbreak Hotel is what I want,Heartbreak Hotel
EDM Hits is what I need,EDM Hits
hey can you put on Office Vibes,Office Vibes
let's put on Hype,Hype
get the Salsa playlist playing,Salsa
shuffle the Dance Rising playlist,Dance Rising
start playing Soul Classics,Soul Classics
can you start playing Cardio,Cardio
I really want to hear Beach Vibes,Beach Vibes
hey throw on Yoga,Yoga
turn on the Cry Baby playlist,Cry Baby
go ahead and play Hip-Hop Controller,Hip-Hop Controller
go ahead and start Feelin' Good,Feelin' Good
I'm in the mood to listen to Rainy Day,Rainy Day
hey start Beast Mode,Beast Mode
I want to hear Sunday Morning,Sunday Morning
can you turn on Dinner Jazz,Dinner Jazz
I feel like hearing Afternoon Drive,Afternoon Drive
I'm in the mood to listen to Wedding Songs,Wedding Songs
let me listen to Rock Classics,Rock Classics
I'd like to listen to the House Classics playlist,House Classics
I'd love to hear Bedroom Pop,Bedroom Pop
I'd love to listen to Country Roads,Country Roads
can you play After Party,After Party
Study Break please,Study Break
I need the Cry Baby playlist,Cry Baby
find Meditation and put it on,Meditation
After Party would hit the spot,After Party
hey play Gaming Music,Gaming Music
turn on Gym Anthems,Gym Anthems
Acoustic Hits is the vibe,Acoustic Hits
switch the playlist to Lofi Beats,Lofi Beats
hey can you put on Emo Forever,Emo Forever
give me some Film Scores,Film Scores
can you put on Girls Night,Girls Night
queue up the Metal Essentials playlist,Metal Essentials
I really want to hear Summer Pop,Summer Pop
change the playlist to Easy Listening,Easy Listening
can you start Road Trip,Road Trip
let me put on Sleep,Sleep
find Kids Bop and play it,Kids Bop
go ahead and start Gym Anthems,Gym Anthems
hey throw on Running,Running
start playing Soul Music,Soul Music
I'd like to listen to Country Gold,Country Gold
put on All Out 2000s right now,All Out 2000s
Yoga would hit the spot,Yoga
I feel like listening to College Party,College Party
queue up the After Party playlist,After Party
go ahead and start Latin Pop,Latin Pop
shuffle Lofi Beats for me,Lofi Beats
hey start Pop Rising,Pop Rising
I need Friday Feeling right now,Friday Feeling
could you play Jazz Classics,Jazz Classics
can you put on Afrobeats please,Afrobeats
could you start playing College Party please,College Party
go ahead and start Rainy Day,Rainy Day
go ahead and put on Love Songs,Love Songs
I'd like to listen to Romance,Romance
I want Acoustic Hits on,Acoustic Hits
hey put on Cooking Music,Cooking Music
Lullabies sounds good,Lullabies
Bedroom Pop fits the mood,Bedroom Pop
turn on Songs to Sing in the Car,Songs to Sing in the Car
I need the Pregame playlist,Pregame
I need Rainy Day right now,Rainy Day
find the Sad Bops playlist and play it,Sad Bops
throw Reggaeton on,Reggaeton
turn on the Country Roads playlist,Country Roads
play Morning Coffee,Morning Coffee
get Indie Pop playing,Indie Pop
hey start After Hours,After Hours
shuffle Midnight for me,Midnight
could you turn on Soft Rock,Soft Rock
find RapCaviar and put it on,RapCaviar
hey can you put on Soul Music,Soul Music
can you play Coffee Table Jazz,Coffee Table Jazz
Fireside is what I need,Fireside
I feel like hearing Viva Latino,Viva Latino
get the Workout playlist going,Workout
shuffle the New Music Friday playlist,New Music Friday
Study Break would hit the spot,Study Break
I'm in the mood for Summer Party tonight,Summer Party
hey start Pop Punk,Pop Punk
I feel like listening to Pop Rising,Pop Rising
Jazz Classics would be great,Jazz Classics
I feel like hearing Party Mix,Party Mix
play the Summer Party playlist,Summer Party
let me listen to Cozy,Cozy
hey play Cooking Music,Cooking Music
get Electronic Rising playing,Electronic Rising
can you put on In the Zone please,In the Zone
get the Disney Hits playlist playing,Disney Hits
put on Anger Management right now,Anger Management
could you start playing Romance please,Romance
let's listen to EDM Hits,EDM Hits
get the Hot Country playlist going,Hot Country
could you put on Throwback Thursday for me,Throwback Thursday
go ahead and put on Emo Forever,Emo Forever
I wanna hear Discover Weekly,Discover Weekly
find EDM Hits and put it on,EDM Hits
can you play Baking Songs,Baking Songs
play some Soft Rock,Soft Rock
Date Night would be great,Date Night
let me listen to Romance,Romance
I'm in the mood for White Noise,White Noise
I want RapCaviar on,RapCaviar
shuffle Hype,Hype
I want R&B Hits on,R&B Hits
hey throw on Acoustic Hits,Acoustic Hits
start playing Confidence Boost,Confidence Boost
I'd love to listen to Girls Night,Girls Night
I wanna hear Heartbreak Hotel,Heartbreak Hotel
let's play Pre-Party,Pre-Party
