phrase,highlight
can we listen to you shook me all night long,you shook me all night long
can you play Lithium,Lithium
queue up The Gnome for me,The Gnome
i want to listen to Thunderstruck,Thunderstruck
find Walking on the Moon and play it,Walking on the Moon
put on nothing else matters right now,nothing else matters
can you play Let There Be Rock,Let There Be Rock
i really want to hear The Four Horsemen,The Four Horsemen
find dyers eve and play it,dyers eve
i really want to hear nothing else matters,nothing else matters
play Stay Away,Stay Away
start playing trapped under ice for me,trapped under ice
play thunderstruck,thunderstruck
get Something in the Way playing,Something in the Way
queue up Enter Sandman for me,Enter Sandman
let me hear Billie Jean,Billie Jean
can you put on Amsterdam please,Amsterdam
could you start playing Despacito for me,Despacito
i'd like to hear Stairway to Heaven,Stairway to Heaven
i really want to hear blinding lights,blinding lights
could you start playing jump for me,jump
go ahead and play Warriors,Warriors
go ahead and play Englishman in New York,Englishman in New York
get Roxanne playing,Roxanne
i really want to hear always,always
could you start playing mr. brightside for me,mr. brightside
can you put on Interstellar Overdrive please,Interstellar Overdrive
can we listen to The Wind Cries Mary,The Wind Cries Mary
i really want to hear come as you are,come as you are
let me hear For Whom the Bell Tolls,For Whom the Bell Tolls
i really want to hear Africa,Africa
i really want to hear Shape of You,Shape of You
let me hear bed of roses,bed of roses
go ahead and play africa,africa
get territorial pissings playing,territorial pissings
start playing creeping death for me,creeping death
hey play hey joe,hey joe
can you play Shape of My Heart,Shape of My Heart
i want to listen to Lounge Act,Lounge Act
start playing arnold layne for me,arnold layne
i'm in the mood for Electric Feel tonight,Electric Feel
can you put on Territorial Pissings please,Territorial Pissings
i'd like to hear smoke on the water,smoke on the water
queue up Thunder for me,Thunder
i want to listen to Interstellar Overdrive,Interstellar Overdrive
i'd like to hear you give love a bad name,you give love a bad name
start playing Bad Guy for me,Bad Guy
get Back in Black playing,Back in Black
start playing god's plan for me,god's plan
start playing blinding lights for me,blinding lights
let's listen to lucifer sam,lucifer sam
hey play time,time
can you put on sad but true please,sad but true
i'm in the mood for Money tonight,Money
get Damage Inc playing,Damage Inc
go ahead and play You Shook Me All Night Long,You Shook Me All Night Long
play shine on you crazy diamond,shine on you crazy diamond
i'm in the mood for Pigs tonight,Pigs
put on wanted dead or alive right now,wanted dead or alive
find whiplash and play it,whiplash
go ahead and play Nightcall,Nightcall
i'm in the mood for livin' on a prayer tonight,livin' on a prayer
i'm in the mood for Blackened tonight,Blackened
hey play riders on the storm,riders on the storm
queue up Numb for me,Numb
let's listen to You Shook Me All Night Long,You Shook Me All Night Long
could you start playing ride the lightning for me,ride the lightning
can you put on someone like you please,someone like you
i'd like to hear Take Five,Take Five
i want to listen to You Shook Me All Night Long,You Shook Me All Night Long
can you play dr. feelgood,dr. feelgood
i'm in the mood for Sliver tonight,Sliver
could you start playing lose yourself for me,lose yourself
i'd like to hear every breath you take,every breath you take
i really want to hear shape of my heart,shape of my heart
can you play Phantom Lord,Phantom Lord
could you start playing time for me,time
hey play Levitating,Levitating
find Every Little Thing She Does Is Magic and play it,Every Little Thing She Does Is Magic
let's listen to Comfortably Numb,Comfortably Numb
can you play smoke on the water,smoke on the water
queue up Leper Messiah for me,Leper Messiah
i'm in the mood for Nightcall tonight,Nightcall
i want to listen to King of Pain,King of Pain
let me hear Message in a Bottle,Message in a Bottle
hey play lose yourself,lose yourself
can you put on redbone please,redbone
hey throw on The Bike,The Bike
i feel like listening to home sweet home,home sweet home
can you put on House Burning Down please,House Burning Down
hey play Purple Haze,Purple Haze
play fix you,fix you
i really want to hear Crossroads,Crossroads
i feel like listening to chapter 24,chapter 24
i really want to hear Chapter 24,Chapter 24
i really want to hear Blinding Lights,Blinding Lights
i'm in the mood for The Struggle Within tonight,The Struggle Within
find Message in a Bottle and play it,Message in a Bottle
i'm in the mood for Ride the Lightning tonight,Ride the Lightning
hey play levitating,levitating
i want to listen to lucifer sam,lucifer sam
get Territorial Pissings playing,Territorial Pissings
hey throw on foxy lady,foxy lady
i'd like to hear rolling in the deep,rolling in the deep
start playing welcome home sanitarium for me,welcome home sanitarium
i really want to hear Welcome to the Machine,Welcome to the Machine
go ahead and play The Wind Cries Mary,The Wind Cries Mary
start playing shoot to thrill for me,shoot to thrill
get TNT playing,TNT
hey throw on welcome to the machine,welcome to the machine
let's listen to Stay Away,Stay Away
let's listen to wonderwall,wonderwall
let me hear kickstart my heart,kickstart my heart
play Manic Depression,Manic Depression
let's listen to all along the watchtower,all along the watchtower
i'm in the mood for Orion tonight,Orion
start playing bold as love for me,bold as love
could you start playing so lonely for me,so lonely
let's listen to It's Time,It's Time
can you put on Someone Like You please,Someone Like You
put on bleeding out right now,bleeding out
put on The Bike right now,The Bike
i really want to hear in bloom,in bloom
i'd like to hear Let Your Soul Be Your Pilot,Let Your Soul Be Your Pilot
go ahead and play Burning of the Midnight Lamp,Burning of the Midnight Lamp
i feel like listening to shoot to thrill,shoot to thrill
can we listen to message in a bottle,message in a bottle
could you start playing Shallow for me,Shallow
go ahead and play dogs,dogs
can we listen to oh the guilt,oh the guilt
let's listen to Yellow,Yellow
get matilda mother playing,matilda mother
i feel like listening to dirty deeds done dirt cheap,dirty deeds done dirt cheap
could you start playing Time for me,Time
get Despacito playing,Despacito
hey play clocks,clocks
can we listen to The Struggle Within,The Struggle Within
hey play Ride the Lightning,Ride the Lightning
i'm in the mood for Little Wing tonight,Little Wing
queue up Jump for me,Jump
i want to listen to Seek and Destroy,Seek and Destroy
i really want to hear electric feel,electric feel
i want to listen to All Along the Watchtower,All Along the Watchtower
let's listen to Have a Cigar,Have a Cigar
get one playing,one
let's listen to Kickstart My Heart,Kickstart My Heart
i'd like to hear Every Breath You Take,Every Breath You Take
go ahead and play rock and roll ain't noise pollution,rock and roll ain't noise pollution
find Numb and play it,Numb
get Take Up Thy Stethoscope and Walk playing,Take Up Thy Stethoscope and Walk
i'm in the mood for Livin' on a Prayer tonight,Livin' on a Prayer
i want to listen to shoot to thrill,shoot to thrill
i feel like listening to shallow,shallow
let me hear Let There Be Rock,Let There Be Rock
i'd like to hear Lithium,Lithium
can we listen to fields of gold,fields of gold
i want to listen to The Four Horsemen,The Four Horsemen
can you put on seven nation army please,seven nation army
play Someone Like You,Someone Like You
put on Billie Jean right now,Billie Jean
i'd like to hear sweet child o' mine,sweet child o' mine
start playing kickstart my heart for me,kickstart my heart
get tnt playing,tnt
queue up moon turn the tides for me,moon turn the tides
let's listen to Brand New Day,Brand New Day
hey play Territorial Pissings,Territorial Pissings
start playing Amsterdam for me,Amsterdam
start playing Welcome Home Sanitarium for me,Welcome Home Sanitarium
i'd like to hear bohemian rhapsody,bohemian rhapsody
i want to listen to Burning of the Midnight Lamp,Burning of the Midnight Lamp
i really want to hear Shape of My Heart,Shape of My Heart
let me hear pow r toc h,pow r toc h
can you put on territorial pissings please,territorial pissings
play Lucifer Sam,Lucifer Sam
queue up Oh the Guilt for me,Oh the Guilt
hey throw on chandelier,chandelier
let me hear Titanium,Titanium
let me hear billie jean,billie jean
i'm in the mood for Brain Damage tonight,Brain Damage
could you start playing Something in the Way for me,Something in the Way
i feel like listening to crossroads,crossroads
i really want to hear Bad Medicine,Bad Medicine
hey play Little Wing,Little Wing
let's listen to it's time,it's time
i'm in the mood for harvester of sorrow tonight,harvester of sorrow
can we listen to master of puppets,master of puppets
let me hear for whom the bell tolls,for whom the bell tolls
could you start playing starboy for me,starboy
can you put on Stay Away please,Stay Away
i'd like to hear pompeii,pompeii
i want to listen to dirty deeds done dirt cheap,dirty deeds done dirt cheap
play Shine On You Crazy Diamond,Shine On You Crazy Diamond
start playing Kickstart My Heart for me,Kickstart My Heart
find to live is to die and play it,to live is to die
find Sliver and play it,Sliver
start playing For Whom the Bell Tolls for me,For Whom the Bell Tolls
hey throw on dogs,dogs
could you start playing Mr. Brightside for me,Mr. Brightside
queue up tnt for me,tnt
i'd like to hear Dyers Eve,Dyers Eve
find Holier Than Thou and play it,Holier Than Thou
i want to listen to Nightcall,Nightcall
queue up breed for me,breed
can you put on Redbone please,Redbone
find home sweet home and play it,home sweet home
i'd like to hear The Scarecrow,The Scarecrow
start playing Highway to Hell for me,Highway to Hell
play bohemian rhapsody,bohemian rhapsody
queue up TNT for me,TNT
could you start playing riders on the storm for me,riders on the storm
i'm in the mood for sliver tonight,sliver
let me hear titanium,titanium
could you start playing Let It Be for me,Let It Be
let me hear Money,Money
play Runaway,Runaway
hey play Enjoy the Silence,Enjoy the Silence
i feel like listening to Demons,Demons
can you play lucifer sam,lucifer sam
i'd like to hear dancing queen,dancing queen
let's listen to brand new day,brand new day
i feel like listening to every breath you take,every breath you take
queue up if you want blood for me,if you want blood
find Little Wing and play it,Little Wing
queue up Astronomy Domine for me,Astronomy Domine
let me hear Let It Be,Let It Be
can we listen to Still Raining Still Dreaming,Still Raining Still Dreaming
i feel like listening to fix you,fix you
can you put on Welcome Home Sanitarium please,Welcome Home Sanitarium
i want to listen to without you,without you
start playing Mr. Brightside for me,Mr. Brightside
i'm in the mood for spanish castle magic tonight,spanish castle magic
start playing one for me,one
can you put on house burning down please,house burning down
queue up jump for me,jump
can you play The Scarecrow,The Scarecrow
play runaway,runaway
go ahead and play nightcall,nightcall
i want to listen to shine on you crazy diamond,shine on you crazy diamond
let me hear let there be rock,let there be rock
hey play Highway to Hell,Highway to Hell
get Someone Like You playing,Someone Like You
i really want to hear disposable heroes,disposable heroes
queue up time for me,time
can you play Matilda Mother,Matilda Mother
start playing Ghost Story for me,Ghost Story
get Wonderwall playing,Wonderwall
let's listen to Levitating,Levitating
let's listen to dyers eve,dyers eve
can you play Take Up Thy Stethoscope and Walk,Take Up Thy Stethoscope and Walk
i'd like to hear Purple Haze,Purple Haze
can you put on Holier Than Thou please,Holier Than Thou
put on Drain You right now,Drain You
play lucifer sam,lucifer sam
hey throw on Mr. Brightside,Mr. Brightside
i'm in the mood for let your soul be your pilot tonight,let your soul be your pilot
find Riders on the Storm and play it,Riders on the Storm
play smells like teen spirit,smells like teen spirit
i'm in the mood for invisible sun tonight,invisible sun
go ahead and play Brand New Day,Brand New Day
i want to listen to lose you to love me,lose you to love me
put on Born to Run right now,Born to Run
put on pompeii right now,pompeii
put on drain you right now,drain you
put on My Friend of Misery right now,My Friend of Misery
i'm in the mood for Fade to Black tonight,Fade to Black
could you start playing despacito for me,despacito
i'd like to hear burning of the midnight lamp,burning of the midnight lamp
can you put on money please,money
go ahead and play seven nation army,seven nation army
queue up Shine On You Crazy Diamond for me,Shine On You Crazy Diamond
i want to listen to stairway to heaven,stairway to heaven
can we listen to Billie Jean,Billie Jean
play paranoid android,paranoid android
queue up home sweet home for me,home sweet home
i really want to hear scarecrow,scarecrow
can we listen to Brand New Day,Brand New Day
put on welcome home sanitarium right now,welcome home sanitarium
can we listen to runaway,runaway
let me hear Creep,Creep
can you put on The Wind Cries Mary please,The Wind Cries Mary
find Hotel California and play it,Hotel California
can we listen to fade to black,fade to black
queue up astronomy domine for me,astronomy domine
find Polly and play it,Polly
go ahead and play If You Want Blood,If You Want Blood
find Smells Like Teen Spirit and play it,Smells Like Teen Spirit
start playing bohemian rhapsody for me,bohemian rhapsody
hey throw on Fire,Fire
let's listen to the struggle within,the struggle within
can we listen to The God That Failed,The God That Failed
start playing Shoot to Thrill for me,Shoot to Thrill
could you start playing shape of my heart for me,shape of my heart
can you play All Along the Watchtower,All Along the Watchtower
let's listen to kickstart my heart,kickstart my heart
play Spanish Castle Magic,Spanish Castle Magic
start playing mr. brightside for me,mr. brightside
go ahead and play comfortably numb,comfortably numb
i want to listen to The Wind Cries Mary,The Wind Cries Mary
i feel like listening to Levitating,Levitating
play redbone,redbone
i'm in the mood for Have a Cigar tonight,Have a Cigar
let me hear Uptown Funk,Uptown Funk
find creep and play it,creep
could you start playing spanish castle magic for me,spanish castle magic
go ahead and play whiplash,whiplash
could you start playing Lose Yourself for me,Lose Yourself
let's listen to Manic Depression,Manic Depression
can you put on welcome home sanitarium please,welcome home sanitarium
i want to listen to Natural,Natural
i'm in the mood for In Bloom tonight,In Bloom
can we listen to Natural,Natural
can we listen to Chandelier,Chandelier
i really want to hear purple rain,purple rain
i want to listen to Shallow,Shallow
get uptown funk playing,uptown funk
i feel like listening to Little Wing,Little Wing
start playing Lose You to Love Me for me,Lose You to Love Me
get Home Sweet Home playing,Home Sweet Home
i'd like to hear lose you to love me,lose you to love me
i really want to hear Disposable Heroes,Disposable Heroes
i'd like to hear Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap
start playing God's Plan for me,God's Plan
i'm in the mood for Ghost Story tonight,Ghost Story
queue up always for me,always
put on Pompeii right now,Pompeii
i'm in the mood for nightcall tonight,nightcall
i really want to hear king of pain,king of pain
put on Polly right now,Polly
i want to listen to girls girls girls,girls girls girls
could you start playing my friend of misery for me,my friend of misery
i'm in the mood for Lounge Act tonight,Lounge Act
let's listen to The Unforgiven,The Unforgiven
play My Friend of Misery,My Friend of Misery
i really want to hear thunder,thunder
i'm in the mood for Arnold Layne tonight,Arnold Layne
let me hear ghost story,ghost story
i want to listen to Lose You to Love Me,Lose You to Love Me
i really want to hear The Unforgiven,The Unforgiven
can you put on Master of Puppets please,Master of Puppets
find Englishman in New York and play it,Englishman in New York
let me hear let it be,let it be
start playing bad guy for me,bad guy
can we listen to Without You,Without You
i really want to hear Hotel California,Hotel California
go ahead and play lose yourself,lose yourself
hey play Clocks,Clocks
find one and play it,one
i'm in the mood for crosstown traffic tonight,crosstown traffic
i'd like to hear Dancing Queen,Dancing Queen
hey throw on Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap
let me hear Invisible Sun,Invisible Sun
get girls girls girls playing,girls girls girls
let's listen to Thunderstruck,Thunderstruck
i want to listen to seek and destroy,seek and destroy
hey play purple haze,purple haze
go ahead and play to live is to die,to live is to die
can you put on Blinding Lights please,Blinding Lights
can you play Brain Damage,Brain Damage
i really want to hear Purple Haze,Purple Haze
let me hear Shallow,Shallow
find invisible sun and play it,invisible sun
queue up numb for me,numb
i want to listen to Flaming,Flaming
could you start playing superstition for me,superstition
get let your soul be your pilot playing,let your soul be your pilot
can you put on the frayed ends of sanity please,the frayed ends of sanity
i want to listen to sad but true,sad but true
play Smells Like Teen Spirit,Smells Like Teen Spirit
let's listen to Numb,Numb
find voodoo child and play it,voodoo child
hey throw on Hey Joe,Hey Joe
i'm in the mood for King of Pain tonight,King of Pain
put on sheep right now,sheep
can we listen to let it be,let it be
can you put on Still Raining Still Dreaming please,Still Raining Still Dreaming
let me hear Bed of Roses,Bed of Roses
i want to listen to Smells Like Teen Spirit,Smells Like Teen Spirit
let's listen to interstellar overdrive,interstellar overdrive
go ahead and play warriors,warriors
hey throw on If You Want Blood,If You Want Blood
i want to listen to flaming,flaming
let me hear Shoot to Thrill,Shoot to Thrill
can we listen to Fields of Gold,Fields of Gold
i feel like listening to rolling in the deep,rolling in the deep
i feel like listening to The Unforgiven,The Unforgiven
i want to listen to the four horsemen,the four horsemen
find Shape of You and play it,Shape of You
can you play crossroads,crossroads
go ahead and play Fire,Fire
i feel like listening to Shallow,Shallow
hey play Fade to Black,Fade to Black
put on every little thing she does is magic right now,every little thing she does is magic
i really want to hear Warriors,Warriors
hey play Lithium,Lithium
can you put on blinding lights please,blinding lights
go ahead and play Wherever I May Roam,Wherever I May Roam
play Redbone,Redbone
i'm in the mood for arnold layne tonight,arnold layne
queue up phantom lord for me,phantom lord
can you play the scarecrow,the scarecrow
i'm in the mood for ride the lightning tonight,ride the lightning
hey play Trapped Under Ice,Trapped Under Ice
i'd like to hear holier than thou,holier than thou
i feel like listening to sad but true,sad but true
get In Bloom playing,In Bloom
i'd like to hear Blackened,Blackened
i feel like listening to Electric Feel,Electric Feel
hey play TNT,TNT
i want to listen to king of pain,king of pain
start playing valparaiso for me,valparaiso
can you put on master of puppets please,master of puppets
find burning of the midnight lamp and play it,burning of the midnight lamp
i want to listen to natural,natural
queue up enter sandman for me,enter sandman
queue up Foxy Lady for me,Foxy Lady
i feel like listening to pigs,pigs
could you start playing Jump for me,Jump
play Seven Nation Army,Seven Nation Army
can we listen to crossroads,crossroads
go ahead and play Moon Turn the Tides,Moon Turn the Tides
can you play Jump,Jump
i'm in the mood for shape of you tonight,shape of you
could you start playing Sweet Child O' Mine for me,Sweet Child O' Mine
i want to listen to Battery,Battery
hey play little wing,little wing
can you play demons,demons
could you start playing leper messiah for me,leper messiah
let's listen to comfortably numb,comfortably numb
i really want to hear rolling in the deep,rolling in the deep
can we listen to seek and destroy,seek and destroy
play Seek and Destroy,Seek and Destroy
put on Wanted Dead or Alive right now,Wanted Dead or Alive
put on blinding lights right now,blinding lights
can we listen to all along the watchtower,all along the watchtower
get home sweet home playing,home sweet home
i feel like listening to uptown funk,uptown funk
i want to listen to Lucifer Sam,Lucifer Sam
queue up pow r toc h for me,pow r toc h
find Moon Turn the Tides and play it,Moon Turn the Tides
find fragile and play it,fragile
hey play Hey Joe,Hey Joe
get chapter 24 playing,chapter 24
start playing radioactive for me,radioactive
start playing electric feel for me,electric feel
let's listen to Creeping Death,Creeping Death
hey throw on Foxy Lady,Foxy Lady
hey throw on the unforgiven,the unforgiven
go ahead and play so lonely,so lonely
find In Bloom and play it,In Bloom
can we listen to smoke on the water,smoke on the water
can we listen to castles made of sand,castles made of sand
let's listen to Welcome to the Machine,Welcome to the Machine
i really want to hear Walking on the Moon,Walking on the Moon
let's listen to Seek and Destroy,Seek and Destroy
get One playing,One
go ahead and play damage inc,damage inc
let me hear Matilda Mother,Matilda Mother
play manic depression,manic depression
let's listen to manic depression,manic depression
play Superstition,Superstition
go ahead and play Desert Rose,Desert Rose
hey play Fire,Fire
can we listen to Crossroads,Crossroads
go ahead and play Welcome to the Machine,Welcome to the Machine
i feel like listening to little wing,little wing
start playing Foxy Lady for me,Foxy Lady
i feel like listening to so lonely,so lonely
queue up leper messiah for me,leper messiah
i'd like to hear if you want blood,if you want blood
hey play nightcall,nightcall
i want to listen to something in the way,something in the way
get eclipse playing,eclipse
could you start playing amsterdam for me,amsterdam
find Lose You to Love Me and play it,Lose You to Love Me
could you start playing Back in Black for me,Back in Black
queue up Comfortably Numb for me,Comfortably Numb
go ahead and play Starboy,Starboy
i want to listen to Shine On You Crazy Diamond,Shine On You Crazy Diamond
queue up desert rose for me,desert rose
get back in black playing,back in black
let's listen to sheep,sheep
i'd like to hear lithium,lithium
i'm in the mood for whole lotta rosie tonight,whole lotta rosie
play Yellow,Yellow
put on without you right now,without you
start playing foxy lady for me,foxy lady
get hells bells playing,hells bells
could you start playing the frayed ends of sanity for me,the frayed ends of sanity
i want to listen to Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap
start playing titanium for me,titanium
can you play Oh the Guilt,Oh the Guilt
could you start playing The Frayed Ends of Sanity for me,The Frayed Ends of Sanity
hey play the bike,the bike
i really want to hear Harvester of Sorrow,Harvester of Sorrow
i'm in the mood for pow r toc h tonight,pow r toc h
hey play Let Your Soul Be Your Pilot,Let Your Soul Be Your Pilot
find walking on the moon and play it,walking on the moon
get Sweet Child O' Mine playing,Sweet Child O' Mine
could you start playing sweet child o' mine for me,sweet child o' mine
i'm in the mood for demons tonight,demons
hey throw on smoke on the water,smoke on the water
i feel like listening to So Lonely,So Lonely
find holier than thou and play it,holier than thou
let's listen to have a cigar,have a cigar
get Astronomy Domine playing,Astronomy Domine
can you put on one please,one
play dr. feelgood,dr. feelgood
i want to listen to Despacito,Despacito
let's listen to levitating,levitating
could you start playing hey joe for me,hey joe
hey play Lose Yourself,Lose Yourself
queue up Breed for me,Breed
could you start playing Under the Bridge for me,Under the Bridge
play Arnold Layne,Arnold Layne
i'm in the mood for blackened tonight,blackened
can you put on wanted dead or alive please,wanted dead or alive
put on So Lonely right now,So Lonely
go ahead and play Dogs,Dogs
find lose you to love me and play it,lose you to love me
i want to listen to Stairway to Heaven,Stairway to Heaven
hey play dogs,dogs
can you play Castles Made of Sand,Castles Made of Sand
queue up Phantom Lord for me,Phantom Lord
go ahead and play The Scarecrow,The Scarecrow
i feel like listening to leper messiah,leper messiah
could you start playing you give love a bad name for me,you give love a bad name
i really want to hear chapter 24,chapter 24
i feel like listening to Wherever I May Roam,Wherever I May Roam
can you put on The Frayed Ends of Sanity please,The Frayed Ends of Sanity
play Paranoid Android,Paranoid Android
i'd like to hear Highway to Hell,Highway to Hell
go ahead and play Pigs,Pigs
can we listen to thunder,thunder
play hotel california,hotel california
i really want to hear shine on you crazy diamond,shine on you crazy diamond
i want to listen to lounge act,lounge act
get Blackened playing,Blackened
i want to listen to Trapped Under Ice,Trapped Under Ice
i feel like listening to Fix You,Fix You
find No Remorse and play it,No Remorse
i'm in the mood for sweet child o' mine tonight,sweet child o' mine
go ahead and play starboy,starboy
get scarecrow playing,scarecrow
can you play cliffs of dover,cliffs of dover
go ahead and play So Lonely,So Lonely
find Ghost Story and play it,Ghost Story
find Eclipse and play it,Eclipse
i want to listen to Girls Girls Girls,Girls Girls Girls
i really want to hear See Emily Play,See Emily Play
can you play the bike,the bike
can you play House Burning Down,House Burning Down
can we listen to Flaming,Flaming
can you play Crossroads,Crossroads
i feel like listening to Valparaiso,Valparaiso
i feel like listening to take five,take five
hey play eclipse,eclipse
can you play thunder,thunder
can you play someone like you,someone like you
put on tnt right now,tnt
could you start playing every breath you take for me,every breath you take
i'm in the mood for in bloom tonight,in bloom
i want to listen to Cliffs of Dover,Cliffs of Dover
could you start playing roxanne for me,roxanne
i feel like listening to clocks,clocks
queue up of wolf and man for me,of wolf and man
go ahead and play desert rose,desert rose
can you play Territorial Pissings,Territorial Pissings
can we listen to Come As You Are,Come As You Are
put on Brain Damage right now,Brain Damage
i'm in the mood for Redbone tonight,Redbone
i'd like to hear natural,natural
hey play fire,fire
i feel like listening to redbone,redbone
let's listen to Lithium,Lithium
go ahead and play Wanted Dead or Alive,Wanted Dead or Alive
i feel like listening to killing me softly,killing me softly
get creep playing,creep
i'm in the mood for Yellow tonight,Yellow
i really want to hear the gnome,the gnome
start playing Pigs for me,Pigs
get Scarecrow playing,Scarecrow
let me hear uptown funk,uptown funk
let me hear polly,polly
can you play disposable heroes,disposable heroes
hey throw on mr. brightside,mr. brightside
can we listen to enter sandman,enter sandman
start playing Trapped Under Ice for me,Trapped Under Ice
hey throw on Under the Bridge,Under the Bridge
i want to listen to comfortably numb,comfortably numb
can you play Lucifer Sam,Lucifer Sam
can you play take five,take five
can you put on Fix You please,Fix You
start playing fade to black for me,fade to black
i'd like to hear Smoke on the Water,Smoke on the Water
get someone like you playing,someone like you
find Harvester of Sorrow and play it,Harvester of Sorrow
i really want to hear seven nation army,seven nation army
hey throw on house burning down,house burning down
i'm in the mood for dr. feelgood tonight,dr. feelgood
go ahead and play wherever i may roam,wherever i may roam
