phrase,pname
Browsing the web with maya,maya
Exploring features of sketchup,sketchup
Collaborating via axure,axure
Creating visuals in aframe,aframe
Starting chrome for the assignment,chrome
Writing scripts inside keil,keil
Writing scripts inside vivaldi,vivaldi
Writing scripts inside jupyter,jupyter
Using stata to complete the project,stata
Designing assets in protoio,protoio
Working on designs in spotify,spotify
Prototyping UI in atom,atom
Opening mixxx to get started,mixxx
Modeling objects with nuke,nuke
Starting bitwig for the assignment,bitwig
Editing files with lynx,lynx
Modeling objects with fritzing,fritzing
Simulating circuits in seamonkey,seamonkey
Opening torbrowser to get started,torbrowser
Streaming music through ableton,ableton
Developing games in audition,audition
Running reason to test the code,reason
Booting up xara for some work,xara
Editing videos using netsurf,netsurf
Writing scripts inside defold,defold
Editing videos using firefox,firefox
Managing data using eagle,eagle
Recording audio in postgres,postgres
Firing up qtcreator to begin,qtcreator
Developing games in firealpaca,firealpaca
Writing scripts inside gdevelop,gdevelop
Writing scripts inside invision,invision
Recording audio in kdenlive,kdenlive
Recording audio in aseprite,aseprite
Editing files with mockplus,mockplus
Writing scripts inside steam,steam
Using handbrake to complete the project,handbrake
Managing data using garageband,garageband
Working on designs in matlab,matlab
Writing scripts inside unity,unity
Debugging in lucidchart environment,lucidchart
Modeling objects with natron,natron
Simulating circuits in onshape,onshape
Writing scripts inside godot,godot
Managing data using animaker,animaker
Using dbeaver to complete the project,dbeaver
Editing files with octave,octave
Exploring features of konqueror,konqueror
