phrase,highlight
I'd like to hear All Along the Watchtower,All Along the Watchtower
put on Foxy Lady right now,Foxy Lady
can you play Hey Joe,Hey Joe
play The Wind Cries Mary for me,The Wind Cries Mary
I want to hear Fire,Fire
play Manic Depression right now,Manic Depression
hey put on Bold as Love,Bold as Love
play Castles Made of Sand for me,Castles Made of Sand
I feel like listening to Spanish Castle Magic,Spanish Castle Magic
put on Burning of the Midnight Lamp please,Burning of the Midnight Lamp
can you play Crosstown Traffic,Crosstown Traffic
play House Burning Down for me,House Burning Down
I want to listen to Still Raining Still Dreaming right now,Still Raining Still Dreaming
play Moon Turn the Tides,Moon Turn the Tides
hey can you put on Comfortably Numb,Comfortably Numb
play Wish You Were Here for me,Wish You Were Here
I'd like to hear Time,Time
put on Money right now,Money
can you play Brain Damage,Brain Damage
play Eclipse for me,Eclipse
I want to hear Shine On You Crazy Diamond,Shine On You Crazy Diamond
play Dogs right now,Dogs
hey put on Pigs,Pigs
play Sheep for me,Sheep
I feel like listening to Have a Cigar,Have a Cigar
put on Welcome to the Machine please,Welcome to the Machine
can you play See Emily Play,See Emily Play
play Arnold Layne for me,Arnold Layne
I want to listen to Interstellar Overdrive right now,Interstellar Overdrive
play Astronomy Domine,Astronomy Domine
hey can you put on Lucifer Sam,Lucifer Sam
play Matilda Mother for me,Matilda Mother
I'd like to hear Flaming,Flaming
put on Pow R Toc H right now,Pow R Toc H
can you play Take Up Thy Stethoscope and Walk,Take Up Thy Stethoscope and Walk
play Scarecrow for me,Scarecrow
I want to hear The Gnome,The Gnome
play Chapter 24 right now,Chapter 24
hey put on The Scarecrow,The Scarecrow
play The Bike for me,The Bike
