phrase,intention,score
Play my music in a random order,shuffle,1
Loop this track please,repeat,1
What's the current song playing?,get_current_music,1
It's been raining all week here,none,0
Continue the music I was listening to,resume_music,1
Forward this track on Spotify,next_track,1
Stop Spotify playback,pause_music,1
Switch to shuffle on Spotify,shuffle,1
Repeat my current track please,repeat,1
Tell me the name of the song that's on,get_current_music,1
I lost track of time at the grocery store,none,0
Resume my music please,resume_music,1
Jump to the next track on Spotify,next_track,1
Hold my music please,pause_music,1
Turn on shuffle mode,shuffle,1
Enable looping on Spotify,repeat,1
What song is on Spotify right now?,get_current_music,1
The line at the post office was endless,none,0
Start the music again,resume_music,1
Skip to the next one please,next_track,1
Pause my music on Spotify,pause_music,1
Shuffle my music queue on Spotify,shuffle,1
Set this song on loop please,repeat,1
What's the name of the current track?,get_current_music,1
I think I left the stove on,none,0
Play Spotify from where it stopped,resume_music,1
Play next song on my Spotify,next_track,1
Hold Spotify for a moment,pause_music,1
Randomize the order of my songs,shuffle,1
Make this song repeat on Spotify,repeat,1
Which track is playing on Spotify now?,get_current_music,1
My room is way too hot at night,none,0
Get the track going again on Spotify,resume_music,1
Next song on my playlist,next_track,1
Mute and pause my Spotify,pause_music,1
Mix up the order of my playlist,shuffle,1
Keep looping the current song,repeat,1
What's currently on Spotify for me?,get_current_music,1
I need to fix that leaky faucet,none,0
Resume my Spotify playlist please,resume_music,1
Skip the current song on Spotify,next_track,1
Pause my current track please,pause_music,1
Put my playlist in random order,shuffle,1
Replay this song on Spotify,repeat,1
Tell me the song name please,get_current_music,1
The bookshelf I ordered finally arrived,none,0
Bring my music back on Spotify,resume_music,1
Go to next track on Spotify,next_track,1
Temporarily stop my Spotify,pause_music,1
Randomize my current queue,shuffle,1
Keep this playing on loop,repeat,1
What track is on at the moment?,get_current_music,1
I really want to try that new restaurant,none,0
Start playing Spotify for me again,resume_music,1
Move to the next track now,next_track,1
Please pause what's on Spotify,pause_music,1
Turn shuffle on for my Spotify,shuffle,1
Repeat the current song please,repeat,1
Which track is currently on Spotify?,get_current_music,1
I should probably clean my room,none,0
Unpause my music please,resume_music,1
Can you go ahead to the next song?,next_track,1
Put Spotify on pause please,pause_music,1
Randomize my playlist on Spotify,shuffle,1
Play this song again and again,repeat,1
Let me know what song is playing,get_current_music,1
I've been meaning to call the bank,none,0
Continue my Spotify music please,resume_music,1
Change track on Spotify,next_track,1
Freeze the music for a moment,pause_music,1
Enable random mode on Spotify,shuffle,1
Loop the song I'm currently on,repeat,1
What's the current music on Spotify?,get_current_music,1
My grocery list keeps growing,none,0
Resume playing my music,resume_music,1
Skip this track please,next_track,1
Pause the song I'm on,pause_music,1
Shuffle the songs for me,shuffle,1
Repeat this song please,repeat,1
Can you check what's playing on Spotify?,get_current_music,1
I forgot to set my alarm last night,none,0
Play my Spotify from where I left off,resume_music,1
Go to the following track please,next_track,1
Stop the current song for now,pause_music,1
Mix up my Spotify songs,shuffle,1
Turn repeat mode on for Spotify,repeat,1
What music is playing on Spotify?,get_current_music,1
The remote control batteries died,none,0
Keep my music playing on Spotify,resume_music,1
Play what comes next on Spotify,next_track,1
Pause Spotify playback now,pause_music,1
Put songs in random order on Spotify,shuffle,1
Keep the song looping please,repeat,1
Tell me what song Spotify has on,get_current_music,1
I've been sneezing all morning,none,0
Get my Spotify session going again,resume_music,1
Play the upcoming track on Spotify,next_track,1
Halt my music on Spotify,pause_music,1
Randomize my queue on Spotify,shuffle,1
Set the current song to loop,repeat,1
What's the song name on Spotify?,get_current_music,1
I need to replace the batteries in the remote,none,0
Resume the song I had paused,resume_music,1
Jump ahead to the next song,next_track,1
Stop and pause my Spotify music,pause_music,1
Start shuffle mode on my Spotify,shuffle,1
Replay the current track please,repeat,1
What song am I on right now?,get_current_music,1
I should book my flights earlier next time,none,0
Can you resume Spotify for me?,resume_music,1
I need to schedule a haircut this week,none,0
Play my paused Spotify track,resume_music,1
My Wi-Fi keeps dropping the connection,none,0
Get the music running again on Spotify,resume_music,1
I accidentally sent an email to the wrong person,none,0
Bring back my Spotify music,resume_music,1
I need to renew my driver's license,none,0
Start up Spotify again please,resume_music,1
My workout clothes need washing,none,0
Resume my Spotify music now,resume_music,1
I keep losing my lip balm,none,0
Let my music keep playing on Spotify,resume_music,1
I need to find a new dentist,none,0
Unpause my Spotify playlist,resume_music,1
My shoelace broke this morning,none,0
Keep playing my Spotify session,resume_music,1
I forgot to pay my electricity bill,none,0
Play my music again on Spotify,resume_music,1
I've been putting off that phone call,none,0
Skip to the next track now,next_track,1
I need to get a new umbrella,none,0
Move me to the next song,next_track,1
The cafeteria ran out of my usual meal,none,0
Play the next thing in my queue,next_track,1
I need to get my bike tire fixed,none,0
Skip this track for me,next_track,1
My USB hub stopped working suddenly,none,0
Change to the following track,next_track,1
I should return that package I bought online,none,0
Go to the next one please,next_track,1
I forgot my umbrella at home,none,0
Play the song that comes after this,next_track,1
My office chair squeaks constantly,none,0
Skip ahead to the next track,next_track,1
I need to book a table for dinner tonight,none,0
Move ahead one song on Spotify,next_track,1
I can't decide what to watch tonight,none,0
Next song in my queue please,next_track,1
My travel mug lid keeps cracking,none,0
Can you play the next song for me?,next_track,1
I need to find a new podcast to follow,none,0
Advance to the next track on Spotify,next_track,1
I've been procrastinating all week,none,0
Jump to the next song now,next_track,1
My cat has been extra clingy today,none,0
Skip to the following song please,next_track,1
I should really stretch more often,none,0
Play the next track right now,next_track,1
The vending machine ate my money again,none,0
Move to the following song on Spotify,next_track,1
I spilled soup on my shirt at lunch,none,0
Play what's next on my Spotify,next_track,1
I need to replace my old mattress,none,0
Skip the song and go forward,next_track,1
My headphones have a broken hinge,none,0
Put the next track on Spotify,next_track,1
I left my badge at home and got locked out,none,0
Play the following track for me,next_track,1
I need to get a new welcome mat,none,0
Pause my Spotify music for now,pause_music,1
I need to schedule a vet appointment,none,0
Please stop the music momentarily,pause_music,1
My shower drain keeps clogging,none,0
Halt the playback on Spotify,pause_music,1
I forgot to pick up my dry cleaning,none,0
Cut the music for a moment,pause_music,1
I've been staring at the same page for an hour,none,0
Freeze the song on Spotify,pause_music,1
I need to call my insurance company,none,0
Stop Spotify for a sec,pause_music,1
I forgot to bring my lunch to work,none,0
Can you put Spotify on hold?,pause_music,1
The Wi-Fi in my building keeps dropping,none,0
Interrupt the music please,pause_music,1
I lost a button off my coat,none,0
Pause the Spotify playback for me,pause_music,1
I need to find a new route to work,none,0
Stop music for just a moment,pause_music,1
My USB hub stopped working,none,0
Can you freeze my Spotify playback?,pause_music,1
I need to stock up on printer paper,none,0
Pause my music right away,pause_music,1
I haven't reorganized my desk in months,none,0
Hold Spotify music please,pause_music,1
The restaurant got my order wrong again,none,0
Stop the track I'm on please,pause_music,1
I should get my eyes checked soon,none,0
Pause Spotify right now,pause_music,1
I keep running out of sticky notes,none,0
Put the music on hold please,pause_music,1
I need to book a flight soon,none,0
Cut off the music on Spotify,pause_music,1
I lost my favorite pen somewhere,none,0
Can you shuffle my Spotify queue?,shuffle,1
I need to take out the trash again,none,0
Play songs randomly on Spotify,shuffle,1
My headphones keep disconnecting,none,0
Randomize the playback on Spotify,shuffle,1
I really want a new desk lamp,none,0
Start random play on my Spotify,shuffle,1
I can't decide what to have for lunch,none,0
Mix my playlist up please,shuffle,1
It took forever to find parking today,none,0
Play my songs out of order,shuffle,1
My coworker microwaves fish in the office,none,0
Turn on random mode for my Spotify,shuffle,1
I've been meaning to read that book,none,0
Activate shuffle playback please,shuffle,1
The printer at work is broken again,none,0
Randomize my track order on Spotify,shuffle,1
I dropped my phone and cracked the screen,none,0
Switch my Spotify to random order,shuffle,1
It's been so cold this week,none,0
Shuffle my tracks for me please,shuffle,1
I keep losing my lip gloss,none,0
Mix up the playback order on Spotify,shuffle,1
I need to update my resume,none,0
Play randomly from my playlist,shuffle,1
My desk is an absolute mess right now,none,0
Randomize what plays next on Spotify,shuffle,1
I need to renew my driver's license soon,none,0
Turn shuffle on for my music now,shuffle,1
My alarm went off an hour late,none,0
Enable random song order on Spotify,shuffle,1
I need to get a new backpack soon,none,0
Start shuffling my Spotify songs,shuffle,1
I've been craving sushi all week,none,0
Shuffle the order of my Spotify queue,shuffle,1
My notebook is running out of pages,none,0
Play my songs in shuffled order,shuffle,1
I really need to paint my bedroom,none,0
Activate random playback on my Spotify,shuffle,1
I should go through my old clothes,none,0
Put my Spotify songs on random play,shuffle,1
I've been putting off doing my laundry,none,0
Play this song on loop please,repeat,1
I need to buy more dishwasher tablets,none,0
Make Spotify keep replaying this track,repeat,1
My office gets too cold in the afternoon,none,0
Keep playing this song over and over,repeat,1
I forgot to pick up the prescription,none,0
Set Spotify to play this song again,repeat,1
I have a pile of magazines to recycle,none,0
Put this track on infinite repeat,repeat,1
I need to call back that missed number,none,0
Loop this song for me please,repeat,1
My battery pack needs replacing,none,0
Replay the current song on Spotify,repeat,1
I should really set up autopay for bills,none,0
Keep this track playing repeatedly,repeat,1
I need to get a new phone case,none,0
Set this to play on repeat please,repeat,1
I forgot to respond to that email,none,0
Make this song loop on Spotify,repeat,1
I should really learn to cook more,none,0
Enable song looping for this track,repeat,1
My pen ran out of ink mid-sentence,none,0
Loop my current song on Spotify,repeat,1
I need to schedule a haircut soon,none,0
Set the track to keep replaying,repeat,1
My travel mug case cracked again,none,0
Make Spotify repeat this track,repeat,1
I've been staring at my screen too long,none,0
Put this on a repeat loop on Spotify,repeat,1
I can't find my headphones anywhere,none,0
Replay the song I'm on right now,repeat,1
I should go to bed earlier tonight,none,0
Enable repeat for the current track please,repeat,1
The bus came early and I missed it,none,0
Keep looping what's playing on Spotify,repeat,1
I need to clean out my bag,none,0
Loop the song indefinitely please,repeat,1
I burnt my hand on the oven rack,none,0
Tell me the name of the song playing,get_current_music,1
I left my lunch at home today,none,0
What's the song that's currently on?,get_current_music,1
I've been sneezing all afternoon,none,0
Can you name the song on Spotify?,get_current_music,1
I need to find a gift for my friend,none,0
What track has Spotify got on right now?,get_current_music,1
I lost my transit card this morning,none,0
Name the song playing on Spotify,get_current_music,1
I'm running out of shampoo,none,0
What is Spotify playing right now?,get_current_music,1
My office chair keeps squeaking,none,0
Can you tell me the track name?,get_current_music,1
I need to find a new podcast,none,0
What song does Spotify have on?,get_current_music,1
My indoor thermometer has wrong readings,none,0
Tell me the current song name on Spotify,get_current_music,1
I need to replace my bathroom mirror,none,0
What is currently playing for me?,get_current_music,1
I've been meaning to donate old clothes,none,0
Can you read the current song for me?,get_current_music,1
I need to buy a new welcome mat,none,0
What song is Spotify on right now?,get_current_music,1
I forgot to cancel that subscription,none,0
Tell me what Spotify is playing,get_current_music,1
I should really defrost my freezer,none,0
What's the name of the track that's on?,get_current_music,1
My earbuds case stopped charging,none,0
Let me know the current Spotify song,get_current_music,1
I should really organize my downloads folder,none,0
What song name is showing on Spotify?,get_current_music,1
My window blinds are stuck halfway,none,0
Give me the name of the current song,get_current_music,1
I need to stock up on printer paper,none,0
Play Bohemian Rhapsody on Spotify,play_music,1
Can you play Blinding Lights for me?,play_music,1
Play something by The Beatles,play_music,1
Put on Stairway to Heaven please,play_music,1
I want to listen to Hotel California,play_music,1
Play Neon by John Mayer,play_music,1
Can you play Shape of You?,play_music,1
Put on some music by Arctic Monkeys,play_music,1
Play As It Was by Harry Styles,play_music,1
I want to hear Levitating by Dua Lipa,play_music,1
Play Smells Like Teen Spirit on Spotify,play_music,1
Can you put on Lose Yourself?,play_music,1
Play some Radiohead for me,play_music,1
I want to listen to Flowers by Miley Cyrus,play_music,1
Put on Bad Guy by Billie Eilish please,play_music,1
Play Running Up That Hill,play_music,1
Can you play something by Kendrick Lamar?,play_music,1
I want to hear Heat Waves by Glass Animals,play_music,1
Play Seven Nation Army on Spotify,play_music,1
Put on Anti-Hero by Taylor Swift,play_music,1
Play me some jazz please,play_music,1
Can you play Creep by Radiohead?,play_music,1
I want to listen to Midnight Rain,play_music,1
Play Riptide by Vance Joy,play_music,1
Can you put on something by Frank Ocean?,play_music,1
Play Redbone by Childish Gambino,play_music,1
I want to hear The Less I Know The Better,play_music,1
Put on Dreams by Fleetwood Mac,play_music,1
Play Superstition by Stevie Wonder,play_music,1
Can you play something chill to work to?,play_music,1
Play Mr. Brightside please,play_music,1
I want to listen to Starboy by The Weeknd,play_music,1
Put on Somebody That I Used to Know,play_music,1
Play Africa by Toto on Spotify,play_music,1
Can you play Come As You Are by Nirvana?,play_music,1
I want to hear Watermelon Sugar,play_music,1
Play something by Mac Miller please,play_music,1
Put on Easy On Me by Adele,play_music,1
Can you play Espresso by Sabrina Carpenter?,play_music,1
Play Thunder Road by Bruce Springsteen,play_music,1
I want to listen to Peso Pluma right now,play_music,1
Put on Paranoid Android for me,play_music,1
Can you play something upbeat?,play_music,1
Play Heather by Conan Gray on Spotify,play_music,1
I want to hear some lo-fi hip hop,play_music,1
Put on Sunday Morning by Maroon 5,play_music,1
Play Cruel Summer by Taylor Swift,play_music,1
Can you put on Vampire by Olivia Rodrigo?,play_music,1
Play the new Billie Eilish song,play_music,1
I want to listen to Wish You Were Here,play_music,1
Play my Discover Weekly playlist,play_playlist,1
Can you put on my workout playlist?,play_playlist,1
Play the chill vibes playlist on Spotify,play_playlist,1
Start my morning routine playlist,play_playlist,1
Put on my road trip playlist please,play_playlist,1
Play the Hot 100 playlist,play_playlist,1
Can you start my focus playlist?,play_playlist,1
Play the Today's Top Hits playlist,play_playlist,1
Put on my sleep playlist please,play_playlist,1
Start my gym playlist on Spotify,play_playlist,1
Play the liked songs playlist,play_playlist,1
Can you play my late night playlist?,play_playlist,1
Put on the study playlist,play_playlist,1
Play my favorites playlist,play_playlist,1
Start the party mix playlist please,play_playlist,1
Can you play the RapCaviar playlist?,play_playlist,1
Put on my coding playlist,play_playlist,1
Play the evening wind down playlist,play_playlist,1
Start my Running playlist on Spotify,play_playlist,1
Can you play the Jazz Classics playlist?,play_playlist,1
Play my Sunday morning playlist,play_playlist,1
Put on the deep focus playlist please,play_playlist,1
Start the dinner playlist,play_playlist,1
Can you play my throwbacks playlist?,play_playlist,1
Play the All Out 80s playlist on Spotify,play_playlist,1
Find the song Blinding Lights on Spotify,search_music,1
Search for Hotel California please,search_music,1
Can you look up Shape of You?,search_music,1
Find me Bohemian Rhapsody by Queen,search_music,1
Search Spotify for Levitating by Dua Lipa,search_music,1
Can you find As It Was by Harry Styles?,search_music,1
Look up Cruel Summer on Spotify,search_music,1
Search for Bad Guy by Billie Eilish,search_music,1
Find the song Watermelon Sugar,search_music,1
Can you search for Heather by Conan Gray?,search_music,1
Look up Redbone on Spotify please,search_music,1
Search for something by Frank Ocean,search_music,1
Find me a song called Espresso,search_music,1
Can you find Wish You Were Here?,search_music,1
Search Spotify for Heat Waves,search_music,1
Look up Paranoid Android by Radiohead,search_music,1
Find the song Anti-Hero please,search_music,1
Can you search for Neon by John Mayer?,search_music,1
Search for Africa by Toto on Spotify,search_music,1
Find me Running Up That Hill,search_music,1
Look up Seven Nation Army please,search_music,1
Can you find Lose Yourself by Eminem?,search_music,1
Search for Superstition by Stevie Wonder,search_music,1
Find me a song by Mac Miller,search_music,1
Can you look up Stairway to Heaven?,search_music,1
Find the workout playlist on Spotify,search_playlist,1
Search for a chill vibes playlist,search_playlist,1
Can you look up the study playlist?,search_playlist,1
Find me a jazz playlist please,search_playlist,1
Search Spotify for a lo-fi playlist,search_playlist,1
Can you find a focus playlist?,search_playlist,1
Look up the RapCaviar playlist,search_playlist,1
Find a road trip playlist on Spotify,search_playlist,1
Search for a sleep playlist please,search_playlist,1
Can you find a playlist for working out?,search_playlist,1
Look up Discover Weekly on Spotify,search_playlist,1
Find me a 90s playlist,search_playlist,1
Search for a cooking playlist please,search_playlist,1
Can you find a playlist for studying?,search_playlist,1
Look up the Hot 100 playlist,search_playlist,1
Find a morning playlist on Spotify,search_playlist,1
Search for a party playlist please,search_playlist,1
Can you find a playlist with calm music?,search_playlist,1
Look up a playlist for long drives,search_playlist,1
Find me the All Out 80s playlist,search_playlist,1
Search Spotify for a dinner party playlist,search_playlist,1
Can you find a deep focus playlist?,search_playlist,1
Find a playlist for rainy days,search_playlist,1
Search for the Jazz Classics playlist,search_playlist,1
Look up a playlist with indie songs please,search_playlist,1
